product_id,product_name,category,standard_cost,list_price,product_status
P0070     , Programmable holistic Graphic Interface             , electronics,959.5815292476168,1688.8437954775063, Discontinued
P0071     , Decentralized tangible attitude                     , electronics,829.2668452799361,1185.0600095336956, Discontinued
P0072     , Fundamental intermediate policy                     , electronics,730.3690160088292,978.3836376251634, Active
P0073     , Face-to-face optimizing projection                  , electronics,496.9566985491522,1217.0892584502838, Discontinued
P0074     , Face-to-face coherent projection                    , electronics,1132.949455552712,840.6439277524148, Active
P0075     , Balanced executive encryption                       , electronics,1170.5034971659554,1341.0668381550915, Active
P0076     , Cross-platform reciprocal extranet                  , electronics,596.9872375589423,181.11741707580296, Active
P0077     , Integrated 6thgeneration monitoring                 , electronics,422.0075235857207,1062.2632578399298, Active
P0078     , Intuitive demand-driven access                      , accessories,935.8311060248608,369.69896099223473, Active
P0079     , Automated asynchronous flexibility                  , electronics,582.235040144597,304.27990126959173, Active
P0080     , Cross-platform motivating matrix                    , electronics,1790.6885371861786,681.1954334178827, Active
P0081     , Robust bifurcated product                           , electronics,277.0362829986268,256.0584118828512, Active
P0082     , Exclusive holistic data-warehouse                   , electronics,100.24440724938336,260.06688005655224, Active
P0083     , Customizable solution-oriented concept              , electronics,633.1609610054468,629.4026259652002, Active
P0084     , Stand-alone 5thgeneration product                   , electronics,280.2814343278883,1765.1678986565646, Active
P0085     , Grass-roots mobile benchmark                        , electronics,490.4450387328031,398.0614588118755, Active
P0086     , Advanced tangible moratorium                        , electronics,913.4709858233498,129.1738731139754, Active
P0087     , Quality-focused neutral application                 , electronics,887.4527151623848,1397.7195191066487, Active
P0088     , Intuitive discrete conglomeration                   , accessories,425.0280868746759,1471.7520609863252, Active
P0089     , Cross-platform reciprocal adapter                   , electronics,687.6450582214873,688.7173458519813, Active
P0090     , Ergonomic tangible data-warehouse                   , electronics,649.8717660594112,889.9454819973394, Active
P0091     , Versatile stable moderator                          , electronics,1189.0387985523043,1204.6152604926976, Active
P0092     , Future-proofed reciprocal projection                , electronics,360.51723683825423,181.7001711349573, Active
P0093     , Visionary reciprocal application                    , electronics,740.6553492678091,1713.5477437053562, Active
P0094     , Polarized client-driven Internet solution           , electronics,1176.36000126801,1607.356658406681, Active
P0095     , Multi-lateral bandwidth-monitored implementation    , electronics,625.1512113145898,543.5191596809137, Active
P0096     , Devolved fault-tolerant contingency                 , accessories,1094.8306422447804,126.01771849365409, Active
P0097     , Stand-alone demand-driven software                  , electronics,849.7825340575203,1686.8417237351211, Active
P0098     , Optimized methodical website                        , electronics,472.0878166180368,951.7678026559408, Discontinued
P0099     , Streamlined impactful access                        , accessories,802.5157654742326,1016.9416622801062, Active
P0100     , Multi-channeled dynamic throughput                  , electronics,829.1949468226716,1262.73840797684, Active
P0101     , Progressive asymmetric portal                       , electronics,1047.8676728805317,1146.9469794628535, Active
P0102     , Self-enabling eco-centric application               , electronics,337.8075004305419,1704.6157277532873, Discontinued
P0103     , Object-based intermediate time-frame                , electronics,639.0965854709226,1705.2277151127846, Discontinued
P0104     , Enterprise-wide coherent Internet solution          , electronics,720.6447031142851,1574.2381870435063, Active
P0105     , Digitized optimal framework                         , electronics,940.780496023066,1181.886115658219, Active
P0106     , Balanced composite middleware                       , accessories,128.8362243649658,1461.6138009600795, Active
P0107     , Reduced systematic flexibility                      , electronics,1193.896572093022,1251.186182051069, Active
P0108     , Team-oriented holistic standardization              , electronics,606.3378556698561,1074.7239708422867, Active
P0109     , Assimilated local functionalities                   , electronics,393.1075828123696,318.4506004976473, Active
P0110     , Business-focused dedicated framework                , accessories,1604.269957407315,1479.047100451205, Discontinued
P0111     , Organic transitional challenge                      , electronics,1376.1675401476557,1495.087108764724, Active
P0112     , Integrated optimizing function                      , electronics,1721.1607030002417,1164.0974391726738, Active
P0113     , Integrated explicit artificial intelligence         , electronics,450.4403412309753,1494.7256344111556, Active
P0114     , Devolved value-added encoding                       , electronics,699.0967628557487,1207.5241121582396, Discontinued
P0115     , Streamlined client-server function                  , electronics,1081.4513482070083,451.3634117904671, Discontinued
P0116     , Advanced directional complexity                     , electronics,1177.971373761971,565.7339164459274, Active
P0117     , Self-enabling mobile Graphical User Interface       , electronics,246.58171009029545,464.80150350423605, Active
P0118     , Mandatory 6thgeneration middleware                  , electronics,422.3806616016437,741.3404414875589, Active
P0119     , Balanced mobile budgetary management                , electronics,293.8203548883876,166.23732492739717, Active
P0120     , Universal responsive paradigm                       , electronics,380.69183971697566,1151.031603374418, Active
